name,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses,StrikeBonus,5roundBonus,Value
Jared Gordon,200,0,400,0,70,10,50,339,0,1069
Josh Emmett,400,0,320,0,140,0,40,66,100,1066
Diego Ferreira,400,180,240,0,0,0,50,195,0,1065
Cole Miller,100,630,160,0,0,10,90,74,0,1064
Lorenz Larkin,400,0,320,0,70,10,50,205,0,1055
Mike Pierce,400,90,320,0,70,0,50,124,0,1054
Miguel Torres,100,270,240,0,0,0,40,277,125,1052
Jamie Varner,400,90,0,0,210,0,90,155,100,1045
Muhammed Lawal,600,0,160,0,0,10,10,215,50,1045
Sergio Pettis,0,0,640,0,70,0,50,259,25,1044
Louis Smolka,400,180,160,0,0,0,90,214,0,1044
Gunnar Nelson,0,720,160,0,0,0,50,62,50,1042
Germaine de Randamie,400,90,240,0,70,0,30,136,75,1041
Arman Tsarukyan,400,0,320,0,0,0,20,243,50,1033
Ben Saunders,300,270,160,0,70,0,100,132,0,1032
Anthony Njokuani,500,0,160,0,0,0,80,292,0,1032
Matt Hamill,500,0,240,75,0,0,50,163,0,1028
James Vick,200,270,320,0,0,0,50,162,25,1027
Aleksei Oleinik,100,630,0,0,70,0,80,72,75,1027
Johnny Walker,500,90,160,0,0,10,50,141,75,1026
Alexis Davis,100,90,480,0,140,0,70,121,25,1026
Carla Esparza,100,90,320,75,210,0,50,76,100,1021
Grant Dawson,100,450,240,75,0,0,10,120,25,1020
Tai Tuivasa,700,0,80,0,0,0,70,94,75,1019
Khalil Rountree Jr.,700,0,80,0,70,10,50,108,0,1018
Yan Xiaonan,100,0,480,75,0,0,20,317,25,1017
Alan Jouban,400,0,320,0,0,0,50,243,0,1013
Zak Cummings,200,360,320,0,0,0,50,82,0,1012
Mitsuhiro Ishida,0,180,560,0,70,0,40,136,25,1011
Michelle Waterson-Gomez,0,360,160,0,140,0,80,145,125,1010
Omari Akhmedov,200,90,400,75,70,0,50,124,0,1009
Cung Le,600,0,80,0,0,0,30,220,75,1005
Alexa Grasso,0,180,400,0,140,0,30,178,75,1003
Frank Trigg,600,0,160,0,0,0,50,117,75,1002
Elias Theodorou,200,0,400,0,70,0,30,301,0,1001
Paul Felder,400,90,160,0,140,0,60,101,50,1001
Chris Camozzi,100,90,320,0,140,0,100,248,0,998
Brian Ortega,300,360,80,0,0,10,30,67,150,997
KJ Noons,400,0,240,0,70,10,80,121,75,996
Jorge Rivera,500,0,160,0,70,0,80,185,0,995
Rafael Cavalcante,800,0,0,0,0,10,60,71,50,991
Frank Shamrock,300,450,0,0,0,0,30,106,100,986
Uriah Hall,600,0,80,0,70,0,90,71,75,986
Manvel Gamburyan,100,270,400,0,0,10,90,90,25,985
Daniel Rodriguez,200,90,320,0,70,0,30,275,0,985
Ken Shamrock,300,450,0,0,0,0,90,117,25,982
Mike Brown,200,180,320,0,0,0,60,120,100,980
Guy Mezger,400,90,240,0,0,0,70,175,0,975
Billy Quarantillo,400,90,160,0,0,0,30,293,0,973
Sam Stout,100,0,400,0,210,0,110,152,0,972
Eryk Anders,400,0,240,0,70,10,80,121,50,971
Akira Shoji,200,270,160,0,140,0,120,79,0,969
Nasrat Haqparast,200,0,480,0,0,0,40,248,0,968
Eddie Alvarez,400,90,80,0,140,10,40,131,75,966
Michel Prazeres,0,270,320,0,210,0,40,125,0,965
Marcus Davis,300,360,80,0,70,0,60,95,0,965
David Abbott,500,180,80,0,0,0,130,72,0,962
